# 港股主表 · 来自港交所官方 ListOfSecurities · 更新至 19/08/2026
# 由 scripts/gen_hk_master_csv.py 生成 · 共 3226 条(股票/ETF/REITs)
# name_en 是港交所给的英文名 —— 公开数据里没有中文名,不臆造
code,name_en,category,lot_size
00347,ANGANG STEEL,Equity,2000
00348,CHINAHEALTHWISE,Equity,10000
00351,ASIA ENERGY LOG,Equity,10000
00352,FORTUNE SUN,Equity,2000
00353,ENERGY INTINV,Equity,4000
00354,CHINASOFT INT'L,Equity,2000
00355,CENTURY C INT'L,Equity,4000
00356,DT CAPITAL-NEW,Equity,5000
00357,MEILAN AIRPORT,Equity,1000
00358,JIANGXI COPPER,Equity,1000
00360,NEW FOCUS AUTO,Equity,4000
00361,HANFORT DEV H,Equity,20000
00362,C ZENITH CHEM,Equity,10000
00363,SHANGHAI IND H,Equity,1000
00365,SINO ICT,Equity,2000
00366,LUKS GROUP (VN),Equity,2000
00367,CHUANG'S INT'L,Equity,4000
00368,SUPERLAND GROUP,Equity,4000
00369,WING TAI PPT,Equity,2000
00370,HK ROBOTICS,Equity,6000
00371,BJ ENT WATER,Equity,2000
00372,PT INTL DEV,Equity,30000
00373,ALLIED GROUP,Equity,2000
00374,FOUR SEAS MER,Equity,2000
00375,YGM TRADING,Equity,1000
00376,YUNFENG FIN,Equity,2000
00377,CHINA HUAJUN GP,Equity,80
00379,EG LEASING,Equity,10000
00380,CHINA PIPE,Equity,4000
00381,AOM INT'L,Equity,20000
00382,EDVANTAGE GROUP,Equity,2000
00383,TIANAN MEDICARE,Equity,5000
00384,CHINA GAS HOLD,Equity,200
00385,CHINNEY ALLI,Equity,2000
00386,SINOPEC CORP,Equity,2000
00387,LEEPORT(HOLD),Equity,4000
00388,HKEX,Equity,100
00389,TONTINE WINES,Equity,2000
00390,CHINA RAILWAY,Equity,1000
00391,MEI AH ENTER,Equity,20000
00392,BEIJING ENT,Equity,500
00393,GLORIOUS SUN,Equity,4000
00396,HING LEE (HK),Equity,2000
00397,MINERVA GROUP,Equity,10000
00398,ORIENTAL WATCH,Equity,2000
00399,STARCOIN GROUP,Equity,5000
00400,INGDAN,Equity,1000
00401,WANJIA GROUP,Equity,20000
00403,STARLITE HOLD,Equity,2000
00405,YUEXIU REIT,Real Estate Investment Trusts,1000
00406,YAU LEE HOLD,Equity,2000
00408,YIP'S CHEMICAL,Equity,2000
00410,SOHO CHINA,Equity,500
00411,LAM SOON (HK),Equity,1000
00412,SDHG,Equity,1000
00413,SC HOLDINGS,Equity,8000
00417,TSE SUI LUEN,Equity,2000
00418,FOUNDER HOLD,Equity,2000
00419,HONY MEDIA,Equity,10000
00420,FOUNTAIN SET,Equity,2000
00422,VMEP HOLDINGS,Equity,1000
00423,HKET HOLDINGS,Equity,2000
00425,MINTH GROUP,Equity,100
00426,ONE MEDIA GROUP,Equity,2000
00428,COCOON HOLDINGS,Equity,4000
00430,ORIENTAL EXPL,Equity,4000
00432,PCPD,Equity,1000
00433,NORTH MINING,Equity,10000
00434,BOYAA,Equity,1000
00435,SUNLIGHT REIT,Real Estate Investment Trusts,1000
00436,NU ENVIRO,Equity,20000
00438,IRICO NEWENERGY,Equity,200
00439,GENESIS SCALE,Equity,2000
00440,DAH SING,Equity,400
00442,DOMAINE POWER,Equity,1000
00444,SINCEREWATCH HK,Equity,10000
00450,HUNG HING PRINT,Equity,2000
00451,DYNASTY DIGITAL,Equity,2000
00455,TIANDA PHARMA,Equity,2000
00456,NEW CITY DEV,Equity,2000
00458,TRISTATE HOLD,Equity,1000
00460,SIHUAN PHARM,Equity,1000
00464,CHINA IN-TECH,Equity,4000
00465,FUTONG TECH,Equity,2000
00467,UNITEDENERGY GP,Equity,2000
00468,GAPACK,Equity,1000
00470,WUXI LEAD,Equity,100
00471,SILKWAVE INC,Equity,4000
00472,NEW SILKROAD,Equity,10000
00474,ACESO LIFE SCI,Equity,6000
00475,CENTRAL DEV H,Equity,2000
00476,EV DYNAMICS,Equity,10000
00480,HKR INT'L,Equity,800
00482,SANDMARTIN INTL,Equity,10000
00483,BAUHAUS INT'L,Equity,2000
00484,FORGAME,Equity,3000
00485,CHINASINOSTAR,Equity,20000
00486,RUSAL,Equity,1000
00487,SUCCESSUNIVERSE,Equity,4000
00488,LAI SUN DEV,Equity,300
00491,EMPEROR CULTURE,Equity,20000
00493,GOME RETAIL,Equity,1000
00496,KASEN,Equity,1000
00497,CSI PROPERTIES,Equity,20000
00498,BLUE RIVER HLDG,Equity,10000
00499,QINGDAO HLDGS,Equity,2000
00500,FRONTIER SER,Equity,1000
00501,OMNIVISION,Equity,100
00505,XINGYE ALLOY,Equity,1000
00506,CHINA FOODS,Equity,2000
00508,DINGYI GP INV,Equity,5000
00509,SUNSHINE,Equity,10000
00510,CASH FIN SER GP,Equity,6000
00511,TVB,Equity,100
00512,GRAND PHARMA,Equity,500
00513,CONTINENTAL H,Equity,10000
00515,CHINASILVER TEC,Equity,10000
00517,COSCO SHIP INTL,Equity,2000
00518,TUNGTEX (HOLD),Equity,2000
00519,NOVAUTEK,Equity,5000
00520,XIABUXIABU,Equity,500
00521,CWT INT'L,Equity,10000
00522,ASMPT,Equity,100
00524,GW TERROIR,Equity,10000
00525,GUANGSHEN RAIL,Equity,2000
00526,LISI GP HOLD,Equity,2000
00527,RF GREEN EN AI,Equity,12000
00528,KINGDOM HOLDING,Equity,2000
00529,SIS INT'L,Equity,2000
00532,WKK INTL (HOLD),Equity,2000
00533,GOLDLION HOLD,Equity,1000
00535,GEMDALE PPT,Equity,2000
00536,TRADELINK,Equity,2000
00537,RIGOL,Equity,100
00538,AJISEN (CHINA),Equity,1000
00540,SPEEDY GLOBAL,Equity,4000
00542,CN CULTURAL T&A,Equity,4000
00543,PACIFIC ONLINE,Equity,1000
00544,DAIDO GROUP,Equity,5000
00546,FUFENG GROUP,Equity,1000
00547,DIGITAL DOMAIN,Equity,5000
